City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
43,Port Hardy,CA,50.7,-127.42,53.6,53.6,71,90,2.24,overcast clouds,0.0,0.0,2020-05-29 15:51:24
44,Te Anau,NZ,-45.42,167.72,41.05,41.05,86,8,0.78,clear sky,0.0,0.0,2020-05-29 15:50:17
45,Severo-Kurilsk,RU,50.68,156.12,37.09,37.09,81,60,6.82,broken clouds,0.0,0.0,2020-05-29 15:51:24
46,Souillac,MU,-20.52,57.52,75.2,75.2,78,40,10.29,scattered clouds,0.0,0.0,2020-05-29 15:51:24
47,Jamestown,US,42.1,-79.24,73.0,71.6,78,75,14.99,broken clouds,0.0,0.0,2020-05-29 15:48:17
48,Cape Town,ZA,-33.93,18.42,64.0,62.01,77,40,5.82,scattered clouds,0.0,0.0,2020-05-29 15:51:24
49,Itarema,BR,-2.92,-39.92,85.93,85.93,70,63,11.52,broken clouds,0.0,0.0,2020-05-29 15:51:24
50,Muros,ES,42.78,-9.06,90.0,75.0,73,32,8.99,scattered clouds,0.0,0.0,2020-05-29 15:51:24
51,Terrace,CA,54.52,-128.6,51.8,51.8,93,90,4.7,light intensity drizzle,0.0,0.0,2020-05-29 15:48:43
52,Koutiala,ML,12.39,-5.46,99.99,99.99,23,100,6.73,overcast clouds,0.0,0.0,2020-05-29 15:51:25
53,Buraydah,SA,26.33,43.98,105.8,105.8,15,0,6.93,clear sky,0.0,0.0,2020-05-29 15:48:42
54,Cheremshanka,RU,56.12,60.27,56.52,56.52,71,37,3.22,scattered clouds,0.0,0.0,2020-05-29 15:51:25
55,Ranipur,PK,27.29,68.51,96.8,96.8,39,40,11.41,dust,0.0,0.0,2020-05-29 15:51:25
56,Oktyabrskiy,RU,54.48,53.47,61.81,61.81,75,1,6.44,clear sky,0.0,0.0,2020-05-29 15:51:25
57,Abu Samrah,SY,35.3,37.18,68.07,68.07,49,0,16.35,clear sky,0.0,0.0,2020-05-29 15:51:25
58,Shitkino,RU,56.37,98.35,42.57,42.57,76,0,3.49,clear sky,0.0,0.0,2020-05-29 15:51:25
