City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Quatre Cocos,MU,75.2,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
257,Miri,MY,86.0,broken clouds,4.41,114.01,"Mega Hotel, Miri"
261,Cap Malheureux,MU,75.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
263,Labuhan,ID,79.57,overcast clouds,-6.88,112.21,bador sepret
264,Cayenne,GF,84.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
269,Sao Filipe,CV,80.44,clear sky,14.9,-24.5,Tortuga B&B
275,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
276,Kupang,ID,76.06,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
277,Alice Town,BS,80.96,clear sky,25.72,-79.3,Bimini Big Game Club Resort & Marina
278,Mahajanga,MG,82.4,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
281,Guerrero Negro,MX,70.7,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
282,Luganville,VU,78.24,broken clouds,-15.53,167.17,The Espiritu Hotel
283,Parkersburg,US,78.01,few clouds,39.27,-81.56,The Blennerhassett Hotel
284,Atambua,ID,71.8,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
285,Namibe,AO,80.6,clear sky,-15.2,12.15,Chik-Chik Namibe
288,Caravelas,BR,78.13,few clouds,-17.71,-39.25,Pousada dos Navegantes
289,Stornoway,GB,71.01,overcast clouds,58.21,-6.39,Caladh Inn
291,Male,MV,82.4,overcast clouds,4.17,73.51,Hotel Octave Maldives
292,Palu,ID,76.98,overcast clouds,-0.89,119.87,Swiss-Belhotel Palu
296,Alofi,NU,75.2,clear sky,-19.06,-169.92,Taloa Heights
300,Aras,ES,87.8,clear sky,42.56,-2.36,Jardines de Viana Spa
301,Pemangkat,ID,81.32,broken clouds,1.17,108.97,Kost H.Syamsuddin
302,Nouadhibou,MR,89.6,clear sky,20.93,-17.03,El Medina
306,Cidreira,BR,70.9,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
308,Saint-Joseph,RE,73.4,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
309,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
311,Aqtobe,KZ,84.2,clear sky,50.28,57.21,"Gostinitsa ""Ilek"""
314,Constantine,DZ,80.6,thunderstorm,36.37,6.61,Grand Hotel Cirta
317,Ararat,AM,87.8,few clouds,39.83,44.7,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
319,Tarakan,ID,78.8,few clouds,3.3,117.63,Hotel D' CaLia Tarakan
320,Chardara,KZ,81.91,clear sky,41.25,67.97,Жанаргул
321,Upata,VE,87.01,overcast clouds,8.01,-62.4,Posada Villa Nela
328,Hamilton,US,75.99,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
329,Ambon,ID,82.99,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
331,Ondangwa,,89.6,clear sky,-17.92,15.95,Protea Hotel by Marriott Ondangwa
334,Doctor Arroyo,MX,72.14,clear sky,23.67,-100.18,Hotel Plaza
335,Luderitz,,75.2,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
336,Moerai,PF,76.19,overcast clouds,-22.43,-151.33,Le Manotel
338,Petatlan,MX,78.8,clear sky,17.52,-101.27,Hotel California Petatlán
342,Vila Velha,BR,77.0,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
343,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
346,Huarmey,PE,73.72,clear sky,-10.07,-78.15,Hotel Miramar
347,Ushtobe,KZ,72.45,clear sky,45.25,77.98,"Gostinitsa ""Diyar"""
348,Cockburn Town,TC,81.01,broken clouds,21.46,-71.14,Osprey Beach Hotel
349,Palmer,US,77.0,broken clouds,42.16,-72.33,Wedgewood Motel
350,Urumqi,CN,73.4,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
351,Sao Joao Do Paraiso,BR,70.41,scattered clouds,-15.31,-42.01,Avenida Palace Hotel
352,Abha,SA,86.0,scattered clouds,18.22,42.51,Abha Hotel
355,Lerici,IT,70.0,few clouds,44.08,9.91,Doria Park Hotel - Lerici
359,West Bay,KY,87.8,few clouds,19.37,-81.42,Calypso Cove
362,Rangia,IN,78.8,mist,26.47,91.63,BIHAPARA ALOCHOK
364,Ambilobe,MG,75.06,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
365,Kieta,PG,78.85,overcast clouds,-6.22,155.63,
366,Aitape,PG,78.71,overcast clouds,-3.14,142.35,
369,Manokwari,ID,80.26,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
375,Dillon,US,82.4,broken clouds,34.42,-79.37,Dillon Express Inn
381,Baiao,BR,89.08,overcast clouds,-2.79,-49.67,Hotel Eurosono
382,Le Port,RE,73.4,scattered clouds,-20.94,55.29,Villa Maido
383,Korla,CN,74.35,clear sky,41.76,86.15,Gulisitan Hotel
384,Itaueira,BR,83.95,overcast clouds,-7.6,-43.03,Hotel Pousada Luz
385,Palmares Do Sul,BR,71.76,clear sky,-30.26,-50.51,Restaurante e Pensão Lopes
390,Lasem,ID,79.45,scattered clouds,-6.69,111.45,Kediaman Bpk Abdul Wakhid Bin Asmu'in
394,Iquique,CL,71.6,scattered clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
396,Union,US,82.0,overcast clouds,40.63,-74.27,Homewood Suites by Hilton Newark-Cranford
400,Terrasini,IT,71.6,clear sky,38.15,13.08,Florio Park Hotel
401,Puerto Carreno,CO,82.4,broken clouds,6.19,-67.49,Casa Hotel Victoria
402,Gorontalo,ID,76.05,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
404,Gombong,ID,78.17,broken clouds,-7.61,109.51,Grafika Hotel Dan Restoran
